lon,lat,pa,tipo,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,bio4_sazonalidade_temperatura_z,bio5_temp_max_mes_quente_z,bio12_precipitacao_anual_z,bio14_precipitacao_mes_seco_z,bio18_precipitacao_trimestre_quente_z,elevacao_z,declividade_z,treino
-54.25,-9.416666666666666,0,Background,47.722652435302734,34.670249938964844,2149,8,366,353,0.07637585699558258,-0.16619383229753537,2.0168721356210964,-0.08648564256995094,-0.9959947416969069,0.043650950246396654,1.7001832807016712,0.22461640796031923,FALSE
-58.75,-8.75,0,Background,35.1751823425293,34.08424758911133,1986,8,268,162,0.1068965420126915,-0.9838487526629383,1.430630820477979,-0.6004541427803759,-0.9959947416969069,-0.5738032392170145,0.01448282047612533,0.6611913663912284,FALSE
-58.58333333333333,-10.75,0,Background,55.169429779052734,33.87324905395508,1959,4,240,281,0.114028237760067,0.31907483867460085,1.2195462424482288,-0.685590029318299,-1.0976779806355925,-0.7502187219208463,1.0647359867946593,0.7632047967158432,FALSE
-59.08333333333333,-9.583333333333332,0,Background,42.174842834472656,34.0364990234375,1958,7,245,233,0.13820822536945343,-0.5277164168368442,1.3828627834661482,-0.6887432103011851,-1.0214155514315784,-0.7187159571523049,0.6411044575233178,1.109080948562049,FALSE
-50.25,-9.583333333333332,0,Background,46.29158401489258,33.82175064086914,1804,7,456,184,0.04305944964289665,-0.25944929548463835,1.1680268288779074,-1.1743330816656357,-1.0214155514315784,0.6107007160801415,0.2086472713921568,-0.2519492112881536,FALSE
-54.58333333333333,-9.583333333333332,0,Background,59.35274124145508,34.895748138427734,2244,8,366,455,0.13778537511825562,0.5916800073152707,2.2424622907605345,0.21306655080422315,-0.9959947416969069,0.043650950246396654,2.6004002804032713,1.1030324004794714,FALSE
-67.25,-9.25,0,Background,71.842498779296875,32.13850021362305,1997,19,469,171,0.03322426602244377,1.4055740934919638,-0.5159100093116231,-0.5657691519686294,-0.7163658346155217,0.6926079044783492,0.09391373221450185,-0.3926339592829189,FALSE
-65.58333333333333,-8.75,0,Background,50.471553802490234,32.649497985839844,1976,19,492,125,0.01848805136978626,0.012938113175245673,-0.004703857844036313,-0.6319859526092364,-0.7163658346155217,0.8375206224136396,-0.31206648333720033,-0.603424192064605,FALSE
-68.08333333333333,-8.083333333333332,0,Background,64.50653076171875,31.552499771118164,2142,36,683,171,0.01059390790760517,0.9275263037091752,-1.1021494163283119,-0.10855790945015323,-0.28421206912610825,2.0409262365719205,0.09391373221450185,-0.716343851368366,FALSE
-58.58333333333333,-9.25,0,Background,38.05765151977539,33.94499969482422,1929,6,252,222,0.0050672274082899,-0.7960128711544985,1.2913261424366866,-0.7801854588048803,-1.0468363611662497,-0.6746120864763469,0.5440222320653021,-0.7953987712660333,FALSE
-62.08333333333333,-12.583333333333332,0,Background,77.09257507324219,33.21049880981445,1574,7,389,192,0.05581051856279373,1.747694910062828,0.5565257360739042,-1.8995647077294255,-1.0214155514315784,0.18856366818168702,0.27925252627071373,-0.0695549635662182,FALSE
-55.25,-10.75,0,Background,46.564231872558594,35.36899948120117,2014,3,283,334,0.17627672851085663,-0.24168221887880542,2.7159066202075044,-0.5121650752595667,-1.1230987903702638,-0.4792949449113903,1.5324958003650986,1.6536216483257842,FALSE
-61.25,-10.583333333333332,0,Background,52.275028228759766,33.20100021362305,2081,10,253,220,0.11874429881572723,0.13046138499732743,0.5470232664598227,-0.30090194940620185,-0.9451531222275642,-0.6683115335226386,0.5263709183456629,0.8306644280504064,FALSE
-52.916666666666664,-9.083333333333332,0,Background,35.23701095581055,34.359500885009766,2044,8,358,308,0.04948550090193748,-0.9798196958494935,1.705996361632062,-0.41756964577298544,-0.9959947416969069,-0.006753473383269562,1.3030287220097887,-0.1600294834144839,FALSE
-54.58333333333333,-11.916666666666664,0,Background,71.98432159423828,33.89149856567383,1810,1,449,359,0.0349007286131382,1.4148159662838107,1.237803196116408,-1.1554139957683194,-1.1739404098396067,0.5665968454041836,1.753137221860589,-0.3686534494931447,FALSE
-52.25,-10.583333333333332,0,Background,53.809627532958984,35.43574905395508,1978,4,524,283,0.05096835643053055,0.2304634302375457,2.7826834127003552,-0.6256795906434642,-1.0976779806355925,1.0391383169323043,1.0823873005142985,-0.1388183739524366,FALSE
-60.25,-11.083333333333332,0,Background,58.554569244384766,32.934749603271484,1950,6,237,244,0.1929575502872467,0.5396671907174218,0.28066408204840326,-0.7139686581642735,-1.0468363611662497,-0.7691203807819711,0.7381866829813336,1.8922279924998615,FALSE
-64.58333333333333,-11.416666666666666,0,Background,66.37559509277344,33.16524887084961,1648,9,383,165,0.02728581055998802,1.0493237366153125,0.5112573446834483,-1.6662293149958585,-0.9705739319622355,0.15076035045943736,0.040959791055584165,-0.47757900377363416,FALSE
-57.75,-11.75,0,Background,74.1329116821289,33.035499572753906,2016,3,447,309,0.05576958134770393,1.554828673564453,0.3814551362562375,-0.5058587132937946,-1.1230987903702638,0.5539957394967671,1.3118543788696084,-0.07014053898715289,FALSE
