variavel,variavel_z,variavel_legenda,valor,valor_z,adequabilidade
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,76.39299316303841,-0.3045653547308796,0.2216203016158378
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,76.55023682767111,-0.2795975936620477,0.22116913696759138
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,76.70748049230383,-0.25462983259321353,0.22084405325502307
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,76.86472415693653,-0.22966207152438164,0.2206446537949437
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,77.02196782156925,-0.20469431045554748,0.22057069502638094
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,77.17921148620195,-0.1797265493867156,0.22062208656368815
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,77.33645515083465,-0.15475878831788367,0.22079889121560062
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,77.49369881546737,-0.12979102724904953,0.2211013249720311
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,77.65094248010007,-0.10482326618021763,0.22152975695735902
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,77.80818614473279,-0.07985550511138347,0.22208470934592467
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,77.96542980936549,-0.05488774404255157,0.22276685723236514
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,78.12267347399819,-0.029919982973719665,0.2235770284463067
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,78.2799171386309,-0.004952221904885507,0.22451620329773866
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,78.43716080326361,0.020015539163946394,0.22558551423611684
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,78.59440446789631,0.044983300232778294,0.2267862454028631
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,78.75164813252903,0.06995106130161245,0.2281198320534258
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,78.90889179716173,0.09491882237044436,0.2295878598214261
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,79.06613546179445,0.11988658343927851,0.2311920637936329
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,79.22337912642715,0.1448543445081104,0.2329343273605602
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,79.38062279105986,0.16982210557694458,0.2348166808033763
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,79.53786645569257,0.19478986664577647,0.236841299573531
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,79.69511012032527,0.21975762771460838,0.2390105022170695
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,79.85235378495798,0.24472538878344252,0.2413267478909914
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,80.00959744959069,0.26969314985227444,0.24379263341426374
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,80.16684111422339,0.29466091092110636,0.24641088979122402
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,80.3240847788561,0.3196286719899405,0.24918437814012517
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,80.4813284434888,0.3445964330587724,0.2521160849545482
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,80.63857210812152,0.36956419412760655,0.25520911662036694
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,80.79581577275422,0.39453195519643847,0.25846669310595205
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,80.95305943738693,0.41949971626527033,0.2618921407384632
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,81.11030310201964,0.4444674773341045,0.2654888839744321
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,81.26754676665234,0.46943523840293644,0.2692604360685585
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,81.42479043128506,0.4944029994717706,0.27321038854081575
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,81.58203409591776,0.5193707605406025,0.2773423993387481
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,81.73927776055046,0.5443385216094344,0.2816601795894492
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,81.89652142518318,0.5693062826782685,0.28616747883427385
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,82.05376508981588,0.5942740437471005,0.29086806863914344
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,82.21100875444859,0.6192418048159324,0.2957657244745617
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,82.3682524190813,0.6442095658847665,0.30086420576243933
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,82.525496083714,0.6691773269535984,0.30616723399184737
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,82.68273974834672,0.6941450880224326,0.31167846881318384
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,82.83998341297942,0.7191128490912645,0.317401482030247
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,82.99722707761214,0.7440806101600986,0.32333972942277966
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,83.15447074224484,0.7690483712289305,0.32949652034842736
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,83.31171440687754,0.7940161322977625,0.3358749850931912
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,83.46895807151026,0.8189838933665966,0.3424780399635708
