lon,lat,pa,tipo,pred,modelo,n_modelos
-61.583333333333336,-9.416666666666664,0,background,0.16978204857938844,GLM,1
-67.58333333333333,-1.0833333333333304,0,background,6.21882383588303e-5,GLM,1
-63.91666666666667,-5.58333333333333,0,background,0.01565870428104059,GLM,1
-69.08333333333333,-9.249999999999996,0,background,8.77193805345846e-4,GLM,1
-49.583333333333336,-3.916666666666664,0,background,0.07183708190056906,GLM,1
-67.75,-0.9166666666666644,0,background,5.429009958126956e-5,GLM,1
-46.41666666666667,-2.4166666666666643,0,background,0.10541138936447438,GLM,1
-52.083333333333336,-3.4166666666666643,0,background,0.04409255049548905,GLM,1
-57.75,1.0833333333333357,0,background,0.00364181787059704,GLM,1
-51.41666666666667,-8.58333333333333,0,background,9.383702130356072e-4,GLM,1
-62.25,-0.4166666666666643,0,background,0.07913408891545216,GLM,1
-55.91666666666667,-10.749999999999996,0,background,0.00908761685769203,GLM,1
-62.25,-8.916666666666664,0,background,0.08844053725734405,GLM,1
-63.083333333333336,1.2500000000000029,0,background,0.228805660567667,GLM,1
-65.08333333333333,-6.2499999999999964,0,background,0.00529452728804262,GLM,1
-68.41666666666667,-2.7499999999999964,0,background,5.126946071562477e-7,GLM,1
-64.08333333333333,-4.416666666666664,0,background,0.01908276227517771,GLM,1
-57.91666666666667,0.4166666666666696,0,background,0.06738043975648093,GLM,1
-67.08333333333333,-3.0833333333333304,0,background,7.925444455619778e-4,GLM,1
-69.41666666666667,-8.249999999999996,0,background,0.01841861110122596,GLM,1
-58.75,-0.08333333333333037,0,background,0.00880953406813239,GLM,1
-53.75,-8.916666666666664,0,background,0.00286688791830418,GLM,1
-54.583333333333336,-4.58333333333333,0,background,0.02471965157187141,GLM,1
-50.25,-6.08333333333333,0,background,2.03945278314778e-6,GLM,1
-54.41666666666667,-7.916666666666664,0,background,0.01126933719920557,GLM,1
-68.75,-0.7499999999999973,0,background,2.9518695453260327e-6,GLM,1
-57.583333333333336,-12.416666666666664,0,background,4.6690074363418783e-4,GLM,1
