modelo,AUC,especificidade,sensibilidade,fpr,n,presencas,background,rotulo
BRT,0.8382445635045698,0.8413173652694611,0.6842105263157895,0.1586826347305389,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8383233532934131,0.6842105263157895,0.16167664670658688,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8353293413173652,0.6842105263157895,0.16467065868263475,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8323353293413174,0.6842105263157895,0.16766467065868262,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8323353293413174,0.7105263157894737,0.16766467065868262,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8293413173652695,0.7105263157894737,0.1706586826347305,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8263473053892215,0.7105263157894737,0.17365269461077848,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8233532934131736,0.7105263157894737,0.17664670658682635,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8203592814371258,0.7105263157894737,0.17964071856287422,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8173652694610778,0.7105263157894737,0.1826347305389222,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8173652694610778,0.7368421052631579,0.1826347305389222,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8173652694610778,0.7631578947368421,0.1826347305389222,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8143712574850299,0.7631578947368421,0.18562874251497008,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.811377245508982,0.7631578947368421,0.18862275449101795,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8083832335329342,0.7631578947368421,0.19161676646706582,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8053892215568862,0.7631578947368421,0.1946107784431138,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8053892215568862,0.7894736842105263,0.1946107784431138,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.8023952095808383,0.7894736842105263,0.19760479041916168,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7994011976047904,0.7894736842105263,0.20059880239520955,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7964071856287425,0.7894736842105263,0.20359281437125754,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7934131736526946,0.7894736842105263,0.2065868263473054,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7904191616766467,0.7894736842105263,0.20958083832335328,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7874251497005988,0.7894736842105263,0.21257485029940115,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7844311377245509,0.7894736842105263,0.21556886227544914,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.781437125748503,0.7894736842105263,0.218562874251497,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7784431137724551,0.7894736842105263,0.22155688622754488,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7784431137724551,0.8157894736842105,0.22155688622754488,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7754491017964071,0.8157894736842105,0.22455089820359286,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7724550898203593,0.8157894736842105,0.22754491017964074,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7694610778443114,0.8157894736842105,0.2305389221556886,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7694610778443114,0.8421052631578947,0.2305389221556886,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7664670658682635,0.8421052631578947,0.23353293413173648,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7634730538922155,0.8421052631578947,0.23652694610778446,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7604790419161677,0.8421052631578947,0.23952095808383234,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7574850299401198,0.8421052631578947,0.2425149700598802,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7574850299401198,0.868421052631579,0.2425149700598802,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7544910179640718,0.868421052631579,0.2455089820359282,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7514970059880239,0.868421052631579,0.24850299401197606,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7485029940119761,0.868421052631579,0.25149700598802394,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7455089820359282,0.868421052631579,0.2544910179640718,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7425149700598802,0.868421052631579,0.2574850299401198,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7395209580838323,0.868421052631579,0.26047904191616766,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7365269461077845,0.868421052631579,0.26347305389221554,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7335329341317365,0.868421052631579,0.2664670658682635,372,38,334,BRT (AUC = 0.838)
