lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,tipo
-64.91666666666667,-2.7499999999999964,89.11206817626953,23.682235717773438,31.873249053955078,26.590208053588867,3353,371,191,721,806,Background amazônico
-52.91666666666667,-3.9166666666666643,79.79064178466797,48.748199462890625,31.635000228881836,24.888208389282227,1723,319,34,173,815,Background amazônico
-55.75,-0.08333333333333037,80.2150650024414,58.95477294921875,31.796499252319336,25.178958892822266,2409,359,95,312,752,Background amazônico
-57.91666666666667,1.5833333333333357,78.79743957519531,55.37492752075195,31.900999069213867,25.428709030151367,1844,330,54,193,872,Background amazônico
-69.41666666666667,-9.916666666666664,75.04753875732422,82.53958892822266,31.402999877929688,25.219667434692383,1858,267,27,631,109,Background amazônico
-54.75,1.9166666666666692,82.446746826171875,53.89855194091797,31.552249908447266,24.947834014892578,2096,357,49,185,606,Background amazônico
-67.91666666666667,-2.0833333333333304,86.469207763671875,36.90214538574219,31.121000289916992,25.857999801635742,3210,331,208,755,860,Background amazônico
-64.08333333333333,0.5833333333333357,89.6465072631836,38.22135925292969,32.36800003051758,26.21933364868164,2572,367,127,471,852,Background amazônico
-54.583333333333336,2.0833333333333357,82.26519775390625,54.128971099853516,31.644250869750977,24.985416412353516,2132,359,49,187,615,Background amazônico
-65.75,-8.249999999999996,76.74781036376953,48.081817626953125,32.527748107910156,26.063167572021484,2168,312,22,529,155,Background amazônico
-59.083333333333336,-10.08333333333333,68.77659606933594,46.43265151977539,34.026248931884766,25.49625015258789,1936,324,6,226,87,Background amazônico
-72.58333333333333,-4.916666666666664,82.52091217041016,43.738040924072266,31.50950050354004,26.135208129882813,2691,314,116,731,407,Background amazônico
-66.75,-3.5833333333333304,84.52595520019531,31.123205184936523,31.696250915527344,26.26074981689453,2871,339,143,623,613,Background amazônico
-55.91666666666667,2.0833333333333357,80.04698944091797,59.134666442871094,32.991249084472656,25.79570770263672,1788,352,42,154,438,Background amazônico
-56.91666666666667,0.9166666666666696,78.92749786376953,54.856807708740234,32.327999114990234,25.922250747680664,2036,360,65,216,536,Background amazônico
-49.583333333333336,-3.7499999999999964,86.05305480957031,53.56178283691406,32.84975051879883,26.15862464904785,2353,420,33,144,1156,Background amazônico
-48.91666666666667,-6.08333333333333,72.11451721191406,53.131744384765625,34.65475082397461,25.564416885375977,1655,290,23,208,772,Background amazônico
-61.41666666666667,-1.9166666666666643,86.38655090332031,32.51744079589844,31.5887508392334,26.369125366210938,2551,335,126,502,654,Background amazônico
-52.083333333333336,-4.2499999999999964,79.64623260498047,43.37333297729492,31.090749740600586,24.285207748413086,2088,339,38,185,937,Background amazônico
-57.25,-1.9166666666666643,77.680419921875,63.16831588745117,32.76599884033203,26.236000061035156,2397,376,61,272,964,Background amazônico
-56.91666666666667,-5.08333333333333,76.1622314453125,49.769264221191406,32.735748291015625,26.080249786376953,2266,309,58,401,889,Background amazônico
-63.083333333333336,-3.2499999999999964,88.59590148925781,26.359527587890625,31.5572509765625,26.354999542236328,2490,297,109,589,584,Background amazônico
