especie_padrao,especie,lon,lat,fonte,origem,id_origem,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,celula_raster
Dinizia excelsa,Dinizia excelsa Ducke,-63.251111,-8.915278,Inventario_ou_base_local,Arquivo local,NA,72.39253234863281,45.38854217529297,32.66225051879883,25.48370933532715,2287,363,15,500,178,15705
Dinizia excelsa,Dinizia excelsa Ducke,-56.306111,-1.655278,Inventario_ou_base_local,Arquivo local,NA,79.0546646118164,64.2703628540039,32.88574981689453,26.35212516784668,2413,395,72,293,950,7651
Dinizia excelsa,Dinizia excelsa Ducke,-61.595136,-7.948514,Inventario_ou_base_local,Arquivo local,NA,72.08264923095703,37.34532165527344,33.41350173950195,25.65858268737793,2446,370,22,364,215,14611
Dinizia excelsa,Dinizia excelsa Ducke,-51.954722,-3.227222,Inventario_ou_base_local,Arquivo local,NA,79.98931121826172,56.432159423828125,32.276248931884766,25.126249313354492,2133,371,36,154,972,9517
Dinizia excelsa,Dinizia excelsa Ducke,-64.205556,-9.143889,Inventario_ou_base_local,Arquivo local,NA,73.23704528808594,48.799835205078125,33.14925003051758,25.975582122802734,2064,311,24,481,172,15883
Dinizia excelsa,Dinizia excelsa Ducke,-63.591667,-8.581667,Inventario_ou_base_local,Arquivo local,NA,72.02839660644531,44.630950927734375,32.94049835205078,25.742584228515625,2232,345,18,493,175,15335
Dinizia excelsa,Dinizia excelsa Ducke,-64.591356,-9.411556,Inventario_ou_base_local,Arquivo local,NA,73.602935791015625,52.54551696777344,33.40925216674805,26.13545799255371,1920,275,25,461,175,16249
Dinizia excelsa,Dinizia excelsa Ducke,-64.654939,-9.620525,Inventario_ou_base_local,Arquivo local,NA,73.82600402832031,53.68148422241211,33.265499114990234,26.085248947143555,1884,273,24,449,171,16433
Dinizia excelsa,Dinizia excelsa Ducke,-60.285058,-2.439172,Inventario_ou_base_local,Arquivo local,NA,82.43030548095703,43.41608047485352,31.79800033569336,26.19270896911621,2389,319,93,424,795,8547
Dinizia excelsa,Dinizia excelsa Ducke,-56,-4,Inventario_ou_base_local,Arquivo local,NA,77.2273941040039,61.41438293457031,33.09175109863281,26.128082275390625,2019,306,66,305,829,10413
Dinizia excelsa,Dinizia excelsa Ducke,-51.972222,-0.973889,Inventario_ou_base_local,Arquivo local,NA,82.09739685058594,56.55431365966797,32.614749908447266,26.063791275024418,2500,361,52,227,846,6941
Dinizia excelsa,Dinizia excelsa Ducke,-64.736111,-9.744722,Inventario_ou_base_local,Arquivo local,NA,74.5223388671875,55.49674987792969,33.11600112915039,26.146041870117188,1807,270,23,428,165,16616
Dinizia excelsa,Dinizia excelsa Ducke,-65.355556000000007,-4.898333,Inventario_ou_base_local,Arquivo local,NA,83.62947845458984,28.80950355529785,32.035247802734375,26.37583351135254,2461,319,87,502,408,11276
Dinizia excelsa,Dinizia excelsa Ducke,-64.95,-9.646944,Inventario_ou_base_local,Arquivo local,NA,74.60795593261719,54.94429016113281,33.16025161743164,26.267749786376953,1779,262,22,426,163,16431
