especie,lon,lat,fonte,origem,id_origem,especie_padrao
Dinizia excelsa Ducke,-51.04,2.48,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.31,2.16,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.53,2.03,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.04,2.3,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.18,1.22,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.4,2.48,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.22,0.81,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.49,2.48,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.31,1.71,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.93,2.93,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.75,3.24,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.31,1.26,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.35,0.16,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.89711,0.126236,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.18,1.26,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.35,0.9,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.95556944,1.018297222,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.08,0.9,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.94613611,1.018688889,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.08,1.26,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-53.225626,0.77088,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-53.227412,0.770044,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.384179,0.730238,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-60.16,-2.64,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-60.17,-2.63,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.96,-2.93,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.94,-2.92,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.95,-2.96,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.94,-2.98,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.92,-2.98,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.46,-1.71,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.51,-1.73,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.52,-1.75,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.59,-1.78,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.9,-2.97,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.162667,-8.999722,GBIF,PRESERVED_SPECIMEN,5886261390,Dinizia excelsa
Dinizia excelsa Ducke,-59.939962,-3.007178,GBIF,HUMAN_OBSERVATION,5133646452,Dinizia excelsa
Dinizia excelsa Ducke,-59.940952,-3.003882,GBIF,HUMAN_OBSERVATION,5215954688,Dinizia excelsa
Dinizia excelsa Ducke,-59.941048,-3.003617,GBIF,HUMAN_OBSERVATION,5216978659,Dinizia excelsa
Dinizia excelsa Ducke,-59.968854,-2.933488,GBIF,HUMAN_OBSERVATION,5282180173,Dinizia excelsa
Dinizia excelsa Ducke,-59.939674,-3.007138,GBIF,HUMAN_OBSERVATION,5844099919,Dinizia excelsa
Dinizia excelsa Ducke,-59.941363,-3.003723,GBIF,HUMAN_OBSERVATION,5840163404,Dinizia excelsa
Dinizia excelsa Ducke,-59.942345,-3.005501,GBIF,HUMAN_OBSERVATION,5840201501,Dinizia excelsa
Dinizia excelsa Ducke,-59.941205,-3.003661,GBIF,HUMAN_OBSERVATION,5840362588,Dinizia excelsa
Dinizia excelsa Ducke,-59.906023,-3.11415,GBIF,HUMAN_OBSERVATION,5844012115,Dinizia excelsa
Dinizia excelsa Ducke,-59.908086,-3.111754,GBIF,HUMAN_OBSERVATION,5844228437,Dinizia excelsa
Dinizia excelsa Ducke,-59.90793,-3.111699,GBIF,HUMAN_OBSERVATION,5844618460,Dinizia excelsa
Dinizia excelsa Ducke,-51.910556,1.106389,GBIF,PRESERVED_SPECIMEN,5934879912,Dinizia excelsa
Dinizia excelsa Ducke,-46.799722,-3.6225,GBIF,PRESERVED_SPECIMEN,6184281981,Dinizia excelsa
Dinizia excelsa Ducke,-63.021667,-9.216389,GBIF,PRESERVED_SPECIMEN,5100796303,Dinizia excelsa
Dinizia excelsa Ducke,-59.941212,-3.003656,GBIF,HUMAN_OBSERVATION,4875425924,Dinizia excelsa
Dinizia excelsa Ducke,-51.834167,-1.799167,GBIF,PRESERVED_SPECIMEN,5058437401,Dinizia excelsa
Dinizia excelsa Ducke,-59.971567,-2.928416,GBIF,HUMAN_OBSERVATION,5154173679,Dinizia excelsa
Dinizia excelsa Ducke,-52.514444,-0.295278,GBIF,PRESERVED_SPECIMEN,5867697878,Dinizia excelsa
Dinizia excelsa Ducke,-52.531389,-0.159444,GBIF,PRESERVED_SPECIMEN,6184281045,Dinizia excelsa
Dinizia excelsa Ducke,-52.37,1.191389,GBIF,PRESERVED_SPECIMEN,6233137305,Dinizia excelsa
Dinizia excelsa Ducke,-52.833056,-0.456389,GBIF,PRESERVED_SPECIMEN,4079375498,Dinizia excelsa
Dinizia excelsa Ducke,-56.126789,-9.839442,GBIF,HUMAN_OBSERVATION,4138300949,Dinizia excelsa
Dinizia excelsa Ducke,-59.941206,-3.003702,GBIF,HUMAN_OBSERVATION,4161994436,Dinizia excelsa
Dinizia excelsa Ducke,-59.941291,-3.003708,GBIF,HUMAN_OBSERVATION,4516297430,Dinizia excelsa
Dinizia excelsa Ducke,-59.9413,-3.003583,GBIF,HUMAN_OBSERVATION,4597289331,Dinizia excelsa
Dinizia excelsa Ducke,-59.942881,-2.904665,GBIF,HUMAN_OBSERVATION,5109769241,Dinizia excelsa
Dinizia excelsa Ducke,-59.137778,-8.985,GBIF,PRESERVED_SPECIMEN,5243336433,Dinizia excelsa
Dinizia excelsa Ducke,-62.916111,-9.262778,GBIF,PRESERVED_SPECIMEN,5832506757,Dinizia excelsa
Dinizia excelsa Ducke,-53.837778,-3.389167,GBIF,PRESERVED_SPECIMEN,4427261159,Dinizia excelsa
Dinizia excelsa Ducke,-59.939545,-3.007037,GBIF,HUMAN_OBSERVATION,5062553536,Dinizia excelsa
Dinizia excelsa Ducke,-62.944722,-9.116111,GBIF,PRESERVED_SPECIMEN,4060258302,Dinizia excelsa
Dinizia excelsa Ducke,-62,-9.116111,GBIF,PRESERVED_SPECIMEN,5236453864,Dinizia excelsa
Dinizia excelsa Ducke,-63.94,-8.854167,GBIF,PRESERVED_SPECIMEN,4928892891,Dinizia excelsa
Dinizia excelsa Ducke,-59.939577,-3.007004,GBIF,HUMAN_OBSERVATION,3383873661,Dinizia excelsa
Dinizia excelsa Ducke,-57.846944,-9.122222,GBIF,PRESERVED_SPECIMEN,3912824992,Dinizia excelsa
Dinizia excelsa Ducke,-47.138353,3.395528,GBIF,PRESERVED_SPECIMEN,4454173288,Dinizia excelsa
Dinizia excelsa Ducke,-59.939999,-3.0075,GBIF,HUMAN_OBSERVATION,4080517308,Dinizia excelsa
Dinizia excelsa Ducke,-52.380833,1.2325,GBIF,PRESERVED_SPECIMEN,2575941692,Dinizia excelsa
Dinizia excelsa Ducke,-52.369917,1.190722,GBIF,PRESERVED_SPECIMEN,2873457127,Dinizia excelsa
Dinizia excelsa Ducke,-52.370083,1.192167,GBIF,PRESERVED_SPECIMEN,2873457210,Dinizia excelsa
Dinizia excelsa Ducke,-52.380833,-1.599167,GBIF,PRESERVED_SPECIMEN,3761307392,Dinizia excelsa
Dinizia excelsa Ducke,-53.244722,-0.764722,GBIF,PRESERVED_SPECIMEN,2550865474,Dinizia excelsa
Dinizia excelsa Ducke,-51.658889,0.9675,GBIF,PRESERVED_SPECIMEN,2575940365,Dinizia excelsa
Dinizia excelsa Ducke,-52.946266,1.963061,GBIF,HUMAN_OBSERVATION,5198516425,Dinizia excelsa
Dinizia excelsa Ducke,-48.583333,-3.794722,GBIF,PRESERVED_SPECIMEN,4415957787,Dinizia excelsa
Dinizia excelsa Ducke,-59.9406,-3.005836,GBIF,HUMAN_OBSERVATION,4091394304,Dinizia excelsa
Dinizia excelsa Ducke,-57.289986,3.273014,GBIF,HUMAN_OBSERVATION,2005977165,Dinizia excelsa
Dinizia excelsa Ducke,-57.013008,2.566108,GBIF,HUMAN_OBSERVATION,2005977170,Dinizia excelsa
Dinizia excelsa Ducke,-57.21326,2.9672,GBIF,HUMAN_OBSERVATION,2005977178,Dinizia excelsa
Dinizia excelsa Ducke,-57.060547,2.686886,GBIF,HUMAN_OBSERVATION,2005977179,Dinizia excelsa
Dinizia excelsa Ducke,-57.117675,2.776403,GBIF,HUMAN_OBSERVATION,2005977191,Dinizia excelsa
Dinizia excelsa Ducke,-61.649722,-9.591111,GBIF,PRESERVED_SPECIMEN,1852375276,Dinizia excelsa
Dinizia excelsa Ducke,-61.645,-9.635555,GBIF,PRESERVED_SPECIMEN,1852375486,Dinizia excelsa
Dinizia excelsa Ducke,-61.645,-9.635556,GBIF,PRESERVED_SPECIMEN,3332036318,Dinizia excelsa
Dinizia excelsa Ducke,-63.251111,-8.915278,GBIF,PRESERVED_SPECIMEN,2412489934,Dinizia excelsa
Dinizia excelsa Ducke,-62.903789,-9.251911,GBIF,PRESERVED_SPECIMEN,1930771175,Dinizia excelsa
Dinizia excelsa Ducke,-62.903889,-9.251944,GBIF,PRESERVED_SPECIMEN,2350520696,Dinizia excelsa
Dinizia excelsa Ducke,-61.646944,-9.359167,GBIF,PRESERVED_SPECIMEN,1423931996,Dinizia excelsa
Dinizia excelsa Ducke,-61.6469,-9.3592,GBIF,PRESERVED_SPECIMEN,1930702921,Dinizia excelsa
Dinizia excelsa Ducke,-59.2,-8.983333,GBIF,PRESERVED_SPECIMEN,1585335958,Dinizia excelsa
Dinizia excelsa Ducke,-56.306111,-1.655278,GBIF,PRESERVED_SPECIMEN,2350521265,Dinizia excelsa
Dinizia excelsa Ducke,-61.595136,-7.948514,GBIF,PRESERVED_SPECIMEN,1413715507,Dinizia excelsa
Dinizia excelsa Ducke,-51.954722,-3.227222,GBIF,PRESERVED_SPECIMEN,1424500666,Dinizia excelsa
Dinizia excelsa Ducke,-63.987777,-8.971389,GBIF,PRESERVED_SPECIMEN,1095257572,Dinizia excelsa
Dinizia excelsa Ducke,-64.348888,-9.244167,GBIF,PRESERVED_SPECIMEN,1095257597,Dinizia excelsa
Dinizia excelsa Ducke,-64.348889,-9.244167,GBIF,PRESERVED_SPECIMEN,1424442314,Dinizia excelsa
Dinizia excelsa Ducke,-63.987778,-8.971389,GBIF,PRESERVED_SPECIMEN,1424442400,Dinizia excelsa
Dinizia excelsa Ducke,-63.9878,-8.9714,GBIF,PRESERVED_SPECIMEN,1928886984,Dinizia excelsa
Dinizia excelsa Ducke,-64.3489,-9.2442,GBIF,PRESERVED_SPECIMEN,1930084902,Dinizia excelsa
Dinizia excelsa Ducke,-64.205556,-9.143889,GBIF,PRESERVED_SPECIMEN,2302453020,Dinizia excelsa
Dinizia excelsa Ducke,-63.591667,-8.581667,GBIF,PRESERVED_SPECIMEN,2302479770,Dinizia excelsa
Dinizia excelsa Ducke,-64.348889,-9.244166,GBIF,PRESERVED_SPECIMEN,4947559120,Dinizia excelsa
Dinizia excelsa Ducke,-64.654939,-9.620525,GBIF,PRESERVED_SPECIMEN,4953871631,Dinizia excelsa
Dinizia excelsa Ducke,-64.591356,-9.411556,GBIF,PRESERVED_SPECIMEN,4953872434,Dinizia excelsa
Dinizia excelsa Ducke,-60.09,-2.3828,GBIF,PRESERVED_SPECIMEN,1042713253,Dinizia excelsa
Dinizia excelsa Ducke,-60.285058,-2.439172,GBIF,PRESERVED_SPECIMEN,1837386962,Dinizia excelsa
Dinizia excelsa Ducke,-56.464167,-4.672222,GBIF,PRESERVED_SPECIMEN,1314921506,Dinizia excelsa
Dinizia excelsa Ducke,-56.464167,-4.667222,GBIF,PRESERVED_SPECIMEN,1424374806,Dinizia excelsa
Dinizia excelsa Ducke,-56.46425,-4.66725,GBIF,PRESERVED_SPECIMEN,1929884179,Dinizia excelsa
Dinizia excelsa Ducke,-56,-4,GBIF,PRESERVED_SPECIMEN,2302334616,Dinizia excelsa
Dinizia excelsa Ducke,-51.972222,0.973889,GBIF,PRESERVED_SPECIMEN,1094891943,Dinizia excelsa
Dinizia excelsa Ducke,-51.972222,-0.973889,GBIF,PRESERVED_SPECIMEN,4900537608,Dinizia excelsa
Dinizia excelsa Ducke,-64.048056,-9.081667,GBIF,PRESERVED_SPECIMEN,1094915466,Dinizia excelsa
Dinizia excelsa Ducke,-64.048055,-9.081667,GBIF,PRESERVED_SPECIMEN,1095255995,Dinizia excelsa
