lon,lat,classe,classe_nome
-52.08333333333333,1.75,4,Muito alta
-51.916666666666664,1.75,4,Muito alta
-51.75,1.75,4,Muito alta
-51.58333333333333,1.75,4,Muito alta
-51.416666666666664,1.75,4,Muito alta
-51.25,1.75,4,Muito alta
-51.08333333333333,1.75,4,Muito alta
-50.916666666666664,1.75,4,Muito alta
-50.75,1.75,4,Muito alta
-50.58333333333333,1.75,4,Muito alta
-50.416666666666664,1.75,4,Muito alta
-61.916666666666664,1.5833333333333335,1,Baixa
-61.75,1.5833333333333335,2,Moderada
-61.58333333333333,1.5833333333333335,2,Moderada
-61.416666666666664,1.5833333333333335,2,Moderada
-61.25,1.5833333333333335,2,Moderada
-61.08333333333333,1.5833333333333335,1,Baixa
-60.916666666666664,1.5833333333333335,1,Baixa
-60.75,1.5833333333333335,1,Baixa
-60.58333333333333,1.5833333333333335,2,Moderada
-60.416666666666664,1.5833333333333335,2,Moderada
-60.25,1.5833333333333335,2,Moderada
-60.08333333333333,1.5833333333333335,2,Moderada
-59.916666666666664,1.5833333333333335,1,Baixa
-59.75,1.5833333333333335,1,Baixa
-59.58333333333333,1.5833333333333335,1,Baixa
-57.75,1.5833333333333335,2,Moderada
-57.58333333333333,1.5833333333333335,1,Baixa
-57.416666666666664,1.5833333333333335,2,Moderada
-57.25,1.5833333333333335,1,Baixa
-57.08333333333333,1.5833333333333335,1,Baixa
-56.916666666666664,1.5833333333333335,2,Moderada
-56.75,1.5833333333333335,2,Moderada
-56.58333333333333,1.5833333333333335,2,Moderada
-56.416666666666664,1.5833333333333335,2,Moderada
-56.25,1.5833333333333335,1,Baixa
-56.08333333333333,1.5833333333333335,1,Baixa
-55.916666666666664,1.5833333333333335,2,Moderada
-55.75,1.5833333333333335,2,Moderada
-55.58333333333333,1.5833333333333335,1,Baixa
-55.416666666666664,1.5833333333333335,2,Moderada
-55.25,1.5833333333333335,2,Moderada
-55.08333333333333,1.5833333333333335,1,Baixa
-54.916666666666664,1.5833333333333335,1,Baixa
-54.75,1.5833333333333335,1,Baixa
-54.58333333333333,1.5833333333333335,2,Moderada
-54.416666666666664,1.5833333333333335,3,Alta
-54.25,1.5833333333333335,3,Alta
-54.08333333333333,1.5833333333333335,3,Alta
-53.916666666666664,1.5833333333333335,3,Alta
-53.75,1.5833333333333335,3,Alta
-53.58333333333333,1.5833333333333335,3,Alta
-53.416666666666664,1.5833333333333335,3,Alta
-53.25,1.5833333333333335,3,Alta
-53.08333333333333,1.5833333333333335,3,Alta
-52.916666666666664,1.5833333333333335,3,Alta
-52.75,1.5833333333333335,3,Alta
-52.58333333333333,1.5833333333333335,4,Muito alta
-52.416666666666664,1.5833333333333335,4,Muito alta
-52.25,1.5833333333333335,4,Muito alta
-52.08333333333333,1.5833333333333335,4,Muito alta
-51.916666666666664,1.5833333333333335,4,Muito alta
-51.75,1.5833333333333335,4,Muito alta
-51.58333333333333,1.5833333333333335,4,Muito alta
-51.416666666666664,1.5833333333333335,4,Muito alta
-51.25,1.5833333333333335,4,Muito alta
-51.08333333333333,1.5833333333333335,4,Muito alta
-50.916666666666664,1.5833333333333335,4,Muito alta
-50.75,1.5833333333333335,4,Muito alta
-50.58333333333333,1.5833333333333335,3,Alta
-50.416666666666664,1.5833333333333335,4,Muito alta
-50.25,1.5833333333333335,4,Muito alta
