lon,lat,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,pa,tipo
-46.75,-3.916666666666666,43.070743560791016,31.309499740600582,1600,23,267,245,0.06420136243104935,0,Background
-48.08333333333333,-3.416666666666666,40.416500091552734,31.728750228881836,2005,41,203,112,0.09770926833152772,0,Background
-54.25,1.25,57.12828826904297,31.52549934387207,2185,57,202,334,0.12520013749599457,0,Background
-51.58333333333333,1.0833333333333337,70.76215362548828,32.26874923706055,2348,45,159,124,0.04939872026443481,0,Background
-54.58333333333333,-1.916666666666666,67.101470947265625,32.387001037597656,1668,27,141,37,0.05815313383936882,0,Background
-59.916666666666664,-4.416666666666666,42.8231086730957,32.34600067138672,2124,80,390,36,0.00388624146580696,0,Background
-55.916666666666664,-2.25,66.05260467529297,32.96675109863281,2048,35,195,62,0.1396125704050064,0,Background
-69.58333333333333,-10.083333333333332,81.01397705078125,31.404998779296875,1809,25,618,233,0.04261890426278114,0,Background
-62.25,0.41666666666666696,45.13008499145508,32.46800231933594,2073,92,324,44,0.02186404168605804,0,Background
-48.75,-4.083333333333332,46.6638298034668,32.67900085449219,1997,32,219,113,0.05532499402761459,0,Background
-54.25,-9.416666666666666,47.722652435302734,34.670249938964844,2149,8,366,353,0.07637585699558258,0,Background
-59.08333333333333,1.0833333333333337,56.214752197265625,32.229000091552734,1821,66,230,248,0.3769129514694214,0,Background
-53.916666666666664,-5.583333333333332,39.51507186889648,32.32350158691406,1886,25,330,272,0.06368792802095413,0,Background
-60.25,1.75,60.77864456176758,32.572750091552734,1841,47,244,164,0.12978845834732056,0,Background
-53.08333333333333,-1.083333333333333,61.84584426879883,32.41749954223633,1814,39,139,56,0.20149877667427063,0,Background
-58.75,-8.75,35.1751823425293,34.08424758911133,1986,8,268,162,0.1068965420126915,0,Background
-58.58333333333333,-10.75,55.169429779052734,33.87324905395508,1959,4,240,281,0.114028237760067,0,Background
-59.25,-3.416666666666666,53.83592987060547,32.6662483215332,2293,87,378,26,0.02192969433963298,0,Background
-65.25,-7.25,36.41480255126953,32.64799880981445,2653,43,610,97,0.04272268339991569,0,Background
-55.416666666666664,0.75,55.9955940246582,31.566499710083008,2146,68,221,366,0.04170121997594833,0,Background
-50.25,-3.583333333333332,46.17738723754883,32.08774948120117,2172,28,184,99,0.03180819377303123,0,Background
-46.916666666666664,-2.416666666666666,42.4965705871582,31.526500701904297,2090,46,200,94,0.05080514773726463,0,Background
-59.08333333333333,-9.583333333333332,42.174842834472656,34.0364990234375,1958,7,245,233,0.13820822536945343,0,Background
-56.75,-4.25,56.7844352722168,32.52199935913086,2231,77,347,120,0.04068979993462562,0,Background
-50.25,-9.583333333333332,46.29158401489258,33.82175064086914,1804,7,456,184,0.04305944964289665,0,Background
-54.58333333333333,-9.583333333333332,59.35274124145508,34.895748138427734,2244,8,366,455,0.13778537511825562,0,Background
-67.25,-9.25,71.842498779296875,32.13850021362305,1997,19,469,171,0.03322426602244377,0,Background
-50.75,-4.083333333333332,46.5435905456543,31.955249786376953,1921,28,179,139,0.09103136509656906,0,Background
-65.58333333333333,-8.75,50.471553802490234,32.649497985839844,1976,19,492,125,0.01848805136978626,0,Background
-56.916666666666664,-6.583333333333332,38.514984130859375,33.3797492980957,2211,27,302,238,0.05847140774130821,0,Background
-68.08333333333333,-8.083333333333332,64.50653076171875,31.552499771118164,2142,36,683,171,0.01059390790760517,0,Background
-61.75,0.08333333333333393,41.65237808227539,32.00074768066406,2186,97,354,44,0.00231613777577877,0,Background
-50.58333333333333,-4.583333333333332,45.31495666503906,32.25450134277344,1875,28,213,175,0.0553366057574749,0,Background
-64.91666666666666,-1.75,26.69472312927246,31.738750457763672,2948,176,640,69,0.00614086724817752,0,Background
-67.08333333333333,-3.416666666666666,32.21565246582031,31.604999542236328,2867,156,622,84,0.01977257803082466,0,Background
-60.75,-6.25,33.794429779052734,33.277748107910156,2508,50,547,60,0.01055732183158397,0,Background
-46.75,-3.25,43.95362854003906,32.0057487487793,1843,41,245,86,0.02091334573924541,0,Background
-62.916666666666664,-0.916666666666666,33.838470458984375,31.20275115966797,2366,130,428,31,0.02577690407633781,0,Background
-47.25,-2.083333333333333,46.07999038696289,31.897748947143555,2150,47,192,65,0.04813084378838539,0,Background
-59.75,-7.416666666666666,33.87449645996094,33.513248443603516,1939,18,296,157,0.05879872292280197,0,Background
-56.75,-3.916666666666666,59.729217529296875,32.579498291015625,2231,66,313,108,0.04291550070047378,0,Background
-58.58333333333333,-9.25,38.05765151977539,33.94499969482422,1929,6,252,222,0.0050672274082899,0,Background
-58.916666666666664,0.916666666666667,54.93104553222656,31.397499084472656,1886,71,239,395,0.28550758957862854,0,Background
-66.75,-4.083333333333332,31.44548988342285,31.710750579833984,2734,119,587,98,0.02125618979334831,0,Background
-62.08333333333333,-12.583333333333332,77.09257507324219,33.21049880981445,1574,7,389,192,0.05581051856279373,0,Background
-55.25,-10.75,46.564231872558594,35.36899948120117,2014,3,283,334,0.17627672851085663,0,Background
-61.25,-10.583333333333332,52.275028228759766,33.20100021362305,2081,10,253,220,0.11874429881572723,0,Background
-55.75,1.416666666666667,56.494606018066406,32.035499572753906,1964,49,176,364,0.02271323092281818,0,Background
-51.08333333333333,1.0833333333333337,85.30547332763672,33.40774917602539,2296,26,104,53,0.11912652105093002,0,Background
-57.58333333333333,-7.083333333333332,35.33481979370117,34.084251403808594,2345,23,337,248,0.17466498911380768,0,Background
-58.08333333333333,-3.083333333333333,59.09751892089844,32.8807487487793,2090,69,261,20,0.02653300948441028,0,Background
-63.916666666666664,-7.083333333333332,35.2721061706543,32.89375305175781,2320,32,346,88,0.00443346565589308,0,Background
-45.416666666666664,-2.916666666666666,46.8419075012207,32.38199996948242,2052,23,163,39,0.01388881541788578,0,Background
-60.75,1.5833333333333337,58.40035629272461,32.91749954223633,1882,53,279,88,0.07461519539356232,0,Background
-52.916666666666664,-9.083333333333332,35.23701095581055,34.359500885009766,2044,8,358,308,0.04948550090193748,0,Background
-50.58333333333333,0.75,76.83953094482422,33.096500396728516,2133,18,76,10,0.0231749527156353,0,Background
-62.416666666666664,-4.416666666666666,27.34185791015625,32.0734977722168,2545,97,654,47,0.0218062438070774,0,Background
-53.58333333333333,-4.916666666666666,42.08332061767578,32.04750061035156,1720,25,254,185,0.01716954633593559,0,Background
-57.25,-6.083333333333332,41.5050048828125,33.15299987792969,2269,34,456,181,0.10977570712566376,0,Background
-62.416666666666664,-2.916666666666666,27.26738929748535,31.400249481201172,2663,116,601,55,0.00387867935933172,0,Background
-48.08333333333333,-4.75,49.54860305786133,33.332000732421875,1666,19,130,232,0.12517490983009338,0,Background
-54.58333333333333,-11.916666666666664,71.98432159423828,33.89149856567383,1810,1,449,359,0.0349007286131382,0,Background
-62.58333333333333,-4.583333333333332,27.817750930786133,32.17150115966797,2489,94,651,49,0.02771239541471004,0,Background
-52.25,-10.583333333333332,53.809627532958984,35.43574905395508,1978,4,524,283,0.05096835643053055,0,Background
-60.25,-11.083333333333332,58.554569244384766,32.934749603271484,1950,6,237,244,0.1929575502872467,0,Background
-53.25,-6.25,34.718013763427734,32.9375,1972,24,279,295,0.00439503323286771,0,Background
-65.91666666666666,-3.75,28.478221893310547,31.905250549316406,2829,130,605,87,0.02272119931876659,0,Background
-51.08333333333333,1.25,79.405059814453125,32.894248962402344,2372,28,113,69,0.1408974677324295,0,Background
-64.58333333333333,-11.416666666666666,66.37559509277344,33.16524887084961,1648,9,383,165,0.02728581055998802,0,Background
-66.25,-2.583333333333333,29.212207794189453,31.776750564575195,2744,160,573,61,0.03733919188380241,0,Background
-61.916666666666664,0.5833333333333335,45.64738464355469,32.304500579833984,1993,82,302,52,0.01699350774288177,0,Background
-57.75,-11.75,74.1329116821289,33.035499572753906,2016,3,447,309,0.05576958134770393,0,Background
-68.25,-8.25,68.018218994140625,31.429500579833984,2152,37,691,189,0.03618091344833374,0,Background
-55.75,-1.25,63.163063049316406,32.97975158691406,2382,98,331,67,0.2850363850593567,0,Background
-56.58333333333333,-5.416666666666666,46.46173095703125,32.71799850463867,2350,51,444,179,0.0625951886177063,0,Background
-53.75,-11.916666666666664,83.9722671508789,34.645999908447266,1824,1,453,321,0.0612068809568882,0,Background
-52.08333333333333,-5.916666666666666,33.437015533447266,32.13050079345703,1904,24,359,356,0.03631041198968887,0,Background
-63.58333333333333,-3.75,26.00357437133789,31.78299903869629,2128,83,536,33,0.0155642069876194,0,Background
-61.58333333333333,-6.916666666666666,33.161346435546875,33.26900100708008,2484,40,545,71,0.01979877427220344,0,Background
-44.08333333333333,-2.916666666666666,50.87785339355469,33.110748291015625,2018,17,124,39,0.06188094988465309,0,Background
-56.916666666666664,-2.75,68.1832275390625,33.18299865722656,2473,76,284,10,0.04117778688669205,0,Background
-60.25,-1.75,42.918338775634766,31.653749465942383,2475,128,443,129,0.08433829247951508,0,Background
-51.75,3.416666666666667,56.937232971191406,32.486000061035156,3153,78,280,96,0.08882825821638107,0,Background
-60.916666666666664,-12.583333333333332,81.84514617919922,33.361751556396484,1644,8,404,310,0.09345193952322006,0,Background
-62.08333333333333,1.25,52.327606201171875,32.72600173950195,1945,72,282,82,0.3681427538394928,0,Background
-65.08333333333333,-0.75,32.1680793762207,31.913000106811523,2474,149,491,62,0.02167051658034324,0,Background
-50.58333333333333,-1.25,45.67289733886719,32.233001708984375,2376,60,230,20,0.00931303109973669,0,Background
-67.58333333333333,-7.75,56.503570556640625,31.807748794555664,2103,39,461,152,0.03199602290987968,0,Background
-54.916666666666664,-6.416666666666666,40.679168701171875,33.35900115966797,2238,20,294,238,0.03994396701455116,0,Background
-50.916666666666664,-10.583333333333332,61.60426712036133,34.18975067138672,1751,5,444,212,0.0839366540312767,0,Background
-54.916666666666664,-7.583333333333332,46.20260238647461,34.1974983215332,2195,10,304,276,0.07087847590446472,0,Background
-58.08333333333333,-8.583333333333332,36.09477233886719,34.44725036621094,2027,8,286,180,0.1448667049407959,0,Background
-53.916666666666664,-5.083333333333332,42.45056915283203,32.2135009765625,1782,25,281,200,0.05256267264485359,0,Background
-57.416666666666664,-7.25,33.76533508300781,34.17300033569336,2342,21,336,233,0.13125228881835938,0,Background
-69.25,-9.583333333333332,83.22186279296875,31.25900077819824,1976,31,665,232,0.02426789328455925,0,Background
