lon,lat,pa,tipo,pred_brt,pred_bin_brt
-50.083333333333336,-0.5833333333333304,0,background,0.32599541937305987,1
-54.25,-0.7499999999999973,0,background,0.07209801038232222,0
-60.91666666666667,-8.249999999999996,0,background,0.2728710675153882,1
-60.75,-4.416666666666664,0,background,0.03585676159039637,0
-63.41666666666667,-4.916666666666664,0,background,0.022092784399164823,0
-53.583333333333336,-3.749999999999997,0,background,0.16912034192822856,1
-68.08333333333333,0.4166666666666696,0,background,0.016716408456808437,0
-50.583333333333336,-9.416666666666664,0,background,0.011222042048243687,0
-60.91666666666667,-10.249999999999996,0,background,0.053922145054753866,0
-60.75,-1.2499999999999971,0,background,0.049723685399266374,0
-66.91666666666667,0.9166666666666696,0,background,0.01337061979790132,0
-65.75,0.25000000000000266,0,background,0.11823424627256714,1
-71.91666666666667,-9.749999999999996,0,background,0.0098928542486443425,0
-67.75,-2.7499999999999964,0,background,0.014510619085385769,0
-70.08333333333333,-6.916666666666664,0,background,0.0245329510187838,0
-51.91666666666667,-7.08333333333333,0,background,0.012607384262076077,0
-54.41666666666667,-1.0833333333333304,0,background,0.07060564014179502,0
-49.083333333333336,-4.916666666666664,0,background,0.03510269111244294,0
-62.75,-3.4166666666666643,0,background,0.03482171741738837,0
-60.083333333333336,1.0833333333333357,0,background,0.06723082041117305,0
-67.58333333333333,1.5833333333333357,0,background,0.01849252792474553,0
-58.083333333333336,-11.083333333333329,0,background,0.02482231460969572,0
